nama_kabupaten,kode_kecamatan,nama_kecamatan,kode_desa,nama_desa,produksi_padi,satuan,tahun
KARAWANG,3215180,TIRTAJAYA,3215180007,BOLANG,6411.6,TON,2020
KARAWANG,3215180,TIRTAJAYA,3215180004,GEMPOLKARYA,5678.4,TON,2020
KARAWANG,3215180,TIRTAJAYA,3215180006,KUTAMAKMUR,6910.8,TON,2020
KARAWANG,3215180,TIRTAJAYA,3215180001,MEDANKARYA,9735.0,TON,2020
KARAWANG,3215180,TIRTAJAYA,3215180002,PISANGSAMBO,7425.6,TON,2020
KARAWANG,3215180,TIRTAJAYA,3215180003,SABAJAYA,6930.0,TON,2020
KARAWANG,3215180,TIRTAJAYA,3215180005,SRIJAYA,7184.0,TON,2020
KARAWANG,3215180,TIRTAJAYA,3215180008,SRIKAMULYAN,9360.0,TON,2020
KARAWANG,3215180,TIRTAJAYA,3215180009,SUMURLABAN,7612.8,TON,2020
KARAWANG,3215180,TIRTAJAYA,3215180011,TAMBAKSARI,8080.8,TON,2020
KARAWANG,3215180,TIRTAJAYA,3215180010,TAMBAKSUMUR,20779.2,TON,2020
KARAWANG,321513,CIKAMPEK,3215132008,CIKAMPEK BARAT,0.0,TON,2021
KARAWANG,321513,CIKAMPEK,3215132003,CIKAMPEK KOTA,0.0,TON,2021
KARAWANG,321513,CIKAMPEK,3215132007,CIKAMPEK PUSAKA,27.0,TON,2021
KARAWANG,321513,CIKAMPEK,3215132006,CIKAMPEK SELATAN,0.0,TON,2021
KARAWANG,321513,CIKAMPEK,3215132009,CIKAMPEK TIMUR,0.0,TON,2021
KARAWANG,321513,CIKAMPEK,3215132011,DAWUAN BARAT,426.0,TON,2021
KARAWANG,321513,CIKAMPEK,3215132004,DAWUAN TENGAN,0.0,TON,2021
KARAWANG,321513,CIKAMPEK,3215132001,DAWUAN TIMUR,751.0,TON,2021
KARAWANG,321513,CIKAMPEK,3215132002,KALIHURIP,270.0,TON,2021
KARAWANG,321513,CIKAMPEK,3215132010,KAMOJING,2.0,TON,2021
KARAWANG,321523,CILAMAYA KULON,3215232005,BAYUR KIDUL,2688.0,TON,2021
KARAWANG,321523,CILAMAYA KULON,3215232004,BAYUR LOR,1987.0,TON,2021
KARAWANG,321523,CILAMAYA KULON,3215232006,KIARA,1728.0,TON,2021
KARAWANG,321523,CILAMAYA KULON,3215232003,LANGENSARI,1500.0,TON,2021
KARAWANG,321523,CILAMAYA KULON,3215232007,MANGGUNGJAYA,2077.0,TON,2021
KARAWANG,321523,CILAMAYA KULON,3215232009,MUKTIJAYA,3810.0,TON,2021
KARAWANG,321523,CILAMAYA KULON,3215232011,PASIRJAYA,7022.0,TON,2021
KARAWANG,321523,CILAMAYA KULON,3215232010,PASIRUKEM,1911.0,TON,2021
KARAWANG,321523,CILAMAYA KULON,3215232012,SUKAJAYA,3380.0,TON,2021
KARAWANG,321523,CILAMAYA KULON,3215232001,SUKAMULYA,4270.0,TON,2021
KARAWANG,321523,CILAMAYA KULON,3215232008,SUMURGEDE,3305.0,TON,2021
KARAWANG,321523,CILAMAYA KULON,3215232002,TEGALURUNG,2250.0,TON,2021
KARAWANG,321522,JAYAKERTA,3215222007,CIPTAMARGA,13.0,TON,2021
KARAWANG,321522,JAYAKERTA,3215222005,JAYAKERTA,14.0,TON,2021
KARAWANG,321522,JAYAKERTA,3215222001,JAYAMAKMUR,18.0,TON,2021
KARAWANG,321522,JAYAKERTA,3215222008,KAMPUNGSAWAH,10.0,TON,2021
KARAWANG,321522,JAYAKERTA,3215222002,KEMIRI,12.0,TON,2021
KARAWANG,321522,JAYAKERTA,3215222004,KERTAJAYA,13.0,TON,2021
KARAWANG,321522,JAYAKERTA,3215222003,MAKMURJAYA,12.0,TON,2021
KARAWANG,321522,JAYAKERTA,3215222006,MEDANGASEM,14.0,TON,2021
KARAWANG,321525,KOTA BARU,3215252009,CIKAMPEK UTARA,0.0,TON,2021
KARAWANG,321525,KOTA BARU,3215252007,JOMIN BARAT,0.0,TON,2021
KARAWANG,321525,KOTA BARU,3215252006,JOMIN TIMUR,0.0,TON,2021
KARAWANG,321525,KOTA BARU,3215252004,PANGULAH BARU,1400.0,TON,2021
KARAWANG,321525,KOTA BARU,3215252002,PANGULAH SELATAN,14.0,TON,2021
KARAWANG,321525,KOTA BARU,3215252003,PANGULAH UTARA,0.0,TON,2021
KARAWANG,321525,KOTA BARU,3215252005,PUCUNG,0.0,TON,2021
KARAWANG,321525,KOTA BARU,3215252008,SARIMULYA,0.0,TON,2021
KARAWANG,321525,KOTA BARU,3215252001,WANCIMEKAR,7.0,TON,2021
KARAWANG,321507,KUTAWALUYA,3215072004,KUTAGANDOK,0.0,TON,2021
KARAWANG,321507,KUTAWALUYA,3215072006,KUTAJAYA,0.0,TON,2021
KARAWANG,321507,KUTAWALUYA,3215072003,KUTAKARYA,0.0,TON,2021
KARAWANG,321507,KUTAWALUYA,3215072005,KUTAMUKTI,0.0,TON,2021
KARAWANG,321507,KUTAWALUYA,3215072010,KUTARAJA,0.0,TON,2021
KARAWANG,321507,KUTAWALUYA,3215072002,MULYAJAYA,0.0,TON,2021
KARAWANG,321507,KUTAWALUYA,3215072007,SAMPALAN,0.0,TON,2021
KARAWANG,321507,KUTAWALUYA,3215072012,SINDANGKARYA,0.0,TON,2021
KARAWANG,321507,KUTAWALUYA,3215072009,SINDANGMUKTI,0.0,TON,2021
KARAWANG,321507,KUTAWALUYA,3215072008,SINDANGMULYA,0.0,TON,2021
KARAWANG,321507,KUTAWALUYA,3215072011,SINDANGSARI,0.0,TON,2021
KARAWANG,321507,KUTAWALUYA,3215072001,WALUYA,0.0,TON,2021
KARAWANG,321519,LEMAHABANG,3215192002,CIWARINGIN,1890.0,TON,2021
KARAWANG,321519,LEMAHABANG,3215192005,KARANGTANJUNG,1812.5,TON,2021
KARAWANG,321519,LEMAHABANG,3215192001,KARYAMUKTI,1727.0,TON,2021
KARAWANG,321519,LEMAHABANG,3215192004,KEDAWUNG,1821.5,TON,2021
KARAWANG,321519,LEMAHABANG,3215192007,LEMAHABANG,1312.5,TON,2021
KARAWANG,321519,LEMAHABANG,3215192008,LEMAHMUKTI,2486.0,TON,2021
KARAWANG,321519,LEMAHABANG,3215192006,PASIRTANJUNG,1584.36,TON,2021
KARAWANG,321519,LEMAHABANG,3215192009,PULOJAYA,5400.0,TON,2021
KARAWANG,321519,LEMAHABANG,3215192010,PULOKALAPA,5292.0,TON,2021
KARAWANG,321519,LEMAHABANG,3215192011,PULOMULYA,3860.0,TON,2021
KARAWANG,321519,LEMAHABANG,3215192003,WARINGINKARYA,1594.36,TON,2021
KARAWANG,321521,MAJALAYA,3215212007,BENGLE,1316.88,TON,2021
KARAWANG,321521,MAJALAYA,3215212002,CIRANGGON,2499.53,TON,2021
KARAWANG,321521,MAJALAYA,3215212006,LEMAHMULYA,2070.18,TON,2021
KARAWANG,321521,MAJALAYA,3215212001,MAJALAYA,1805.64,TON,2021
KARAWANG,321521,MAJALAYA,3215212003,PASIRJENGKOL,1631.25,TON,2021
KARAWANG,321521,MAJALAYA,3215212005,PASIRMULYA,3203.5,TON,2021
KARAWANG,321521,MAJALAYA,3215212004,SARIJAYA,2344.65,TON,2021
KARAWANG,321512,PAKISJAYA,3215122005,SOLOKAN,4840.0,TON,2021
KARAWANG,321512,PAKISJAYA,3215122002,TALAGAJAYA,4000.0,TON,2021
KARAWANG,321512,PAKISJAYA,3215122004,TANAHBARU,7000.0,TON,2021
KARAWANG,321512,PAKISJAYA,3215122006,TANJUNGBUNGIN,3000.0,TON,2021
