date,station_id,temperature,humidity,rainfall,wind_speed,cloud_cover,pressure,dew_point,station_name,latitude,longitude
2024-01-01,Karawang,23.6,87.4,6.3,4.8,29.8,1009.3,21.1,Karawang,-6.3167,107.2867
2024-01-02,Karawang,27.5,85.2,3.7,1.0,19.4,1017.9,24.6,Karawang,-6.3167,107.2867
2024-01-03,Karawang,25.8,89.0,10.0,1.5,22.4,1004.1,23.6,Karawang,-6.3167,107.2867
2024-01-04,Karawang,30.2,88.3,6.9,5.4,10.6,1026.1,27.8,Karawang,-6.3167,107.2867
2024-01-05,Karawang,27.3,83.6,6.5,2.4,29.3,1029.6,24.1,Karawang,-6.3167,107.2867
2024-01-06,Karawang,29.4,79.5,8.3,5.9,72.0,1011.2,25.3,Karawang,-6.3167,107.2867
2024-01-07,Karawang,27.6,78.0,2.3,6.9,19.5,1013.1,23.2,Karawang,-6.3167,107.2867
2024-01-08,Karawang,23.9,88.1,5.0,3.3,27.8,1016.7,21.5,Karawang,-6.3167,107.2867
2024-01-09,Karawang,29.5,83.6,10.4,1.1,67.1,1016.2,26.2,Karawang,-6.3167,107.2867
2024-01-10,Karawang,30.3,95.9,2.4,5.2,51.9,1013.7,29.5,Karawang,-6.3167,107.2867
2024-01-11,Karawang,28.3,85.8,5.7,9.4,34.3,1015.7,25.5,Karawang,-6.3167,107.2867
2024-01-12,Karawang,22.9,79.9,3.8,5.8,68.3,1014.6,18.9,Karawang,-6.3167,107.2867
2024-01-13,Karawang,28.9,88.5,5.4,1.8,12.1,1014.0,26.6,Karawang,-6.3167,107.2867
2024-01-14,Karawang,29.1,82.9,0.2,1.8,34.6,1016.3,25.6,Karawang,-6.3167,107.2867
2024-01-15,Karawang,25.7,90.2,2.4,1.3,50.1,1016.7,23.7,Karawang,-6.3167,107.2867
2024-01-16,Karawang,22.2,89.3,4.3,8.4,42.2,1004.2,20.1,Karawang,-6.3167,107.2867
2024-01-17,Karawang,25.6,95.4,6.8,6.3,54.1,1015.7,24.7,Karawang,-6.3167,107.2867
2024-01-18,Karawang,26.4,93.4,2.4,9.7,25.6,1022.0,25.0,Karawang,-6.3167,107.2867
2024-01-19,Karawang,27.6,79.5,3.4,3.1,100.0,1018.3,23.5,Karawang,-6.3167,107.2867
2024-01-20,Karawang,25.2,89.1,1.7,4.0,28.0,1018.5,23.0,Karawang,-6.3167,107.2867
2024-01-21,Karawang,27.3,87.1,23.8,8.2,34.5,1017.7,24.7,Karawang,-6.3167,107.2867
2024-01-22,Karawang,30.0,86.2,17.7,4.6,24.5,1015.3,27.2,Karawang,-6.3167,107.2867
2024-01-23,Karawang,25.8,84.1,4.7,1.9,40.8,1016.4,22.6,Karawang,-6.3167,107.2867
2024-01-24,Karawang,26.7,84.2,2.4,12.6,22.7,1009.6,23.5,Karawang,-6.3167,107.2867
2024-01-25,Karawang,31.8,78.0,14.5,5.4,18.1,1008.4,27.4,Karawang,-6.3167,107.2867
2024-01-26,Karawang,29.6,96.7,4.7,6.9,28.7,1013.6,29.0,Karawang,-6.3167,107.2867
2024-01-27,Karawang,26.5,90.5,2.8,1.7,34.5,1011.9,24.6,Karawang,-6.3167,107.2867
2024-01-28,Karawang,27.3,83.4,27.5,4.9,59.4,1004.9,24.0,Karawang,-6.3167,107.2867
2024-01-29,Karawang,27.5,85.3,5.0,1.0,20.5,1018.0,24.5,Karawang,-6.3167,107.2867
2024-01-30,Karawang,27.1,96.3,3.3,6.6,100.0,1015.1,26.4,Karawang,-6.3167,107.2867
2024-01-31,Karawang,26.7,84.4,6.5,2.6,27.2,1018.1,23.6,Karawang,-6.3167,107.2867
2024-02-01,Karawang,28.6,83.6,17.9,3.0,12.9,1015.1,25.3,Karawang,-6.3167,107.2867
2024-02-02,Karawang,26.0,84.8,3.3,5.8,36.3,1022.6,22.9,Karawang,-6.3167,107.2867
2024-02-03,Karawang,25.4,92.5,7.6,9.0,27.0,1017.2,23.9,Karawang,-6.3167,107.2867
2024-02-04,Karawang,29.2,86.0,2.5,2.0,60.2,1015.4,26.4,Karawang,-6.3167,107.2867
2024-02-05,Karawang,28.1,83.3,6.8,3.3,43.5,1011.7,24.8,Karawang,-6.3167,107.2867
2024-02-06,Karawang,29.3,93.7,7.4,8.2,68.4,1018.9,28.0,Karawang,-6.3167,107.2867
2024-02-07,Karawang,28.3,87.3,7.0,1.3,37.0,1013.6,25.7,Karawang,-6.3167,107.2867
2024-02-08,Karawang,28.0,85.0,4.4,3.0,28.0,1018.1,25.0,Karawang,-6.3167,107.2867
2024-02-09,Karawang,28.6,85.4,13.5,4.2,43.8,1017.0,25.7,Karawang,-6.3167,107.2867
2024-02-10,Karawang,28.9,73.2,12.5,1.4,51.9,1020.9,23.5,Karawang,-6.3167,107.2867
2024-02-11,Karawang,30.4,78.7,5.8,1.6,23.6,1009.2,26.1,Karawang,-6.3167,107.2867
2024-02-12,Karawang,31.6,85.2,20.6,2.3,53.3,1005.1,28.6,Karawang,-6.3167,107.2867
2024-02-13,Karawang,27.1,83.8,9.5,4.1,67.6,1012.5,23.9,Karawang,-6.3167,107.2867
2024-02-14,Karawang,24.8,90.1,5.9,2.3,44.3,1009.4,22.8,Karawang,-6.3167,107.2867
2024-02-15,Karawang,27.1,80.8,18.6,3.4,28.6,1010.2,23.2,Karawang,-6.3167,107.2867
2024-02-16,Karawang,28.8,79.8,6.6,5.2,53.0,1017.3,24.8,Karawang,-6.3167,107.2867
2024-02-17,Karawang,30.1,81.7,2.7,1.9,17.8,1016.0,26.5,Karawang,-6.3167,107.2867
2024-02-18,Karawang,29.1,80.2,7.2,1.7,52.6,1009.1,25.1,Karawang,-6.3167,107.2867
2024-02-19,Karawang,26.2,82.4,3.9,4.2,70.8,1008.0,22.7,Karawang,-6.3167,107.2867
2024-02-20,Karawang,28.0,84.7,3.6,3.4,53.0,1019.7,25.0,Karawang,-6.3167,107.2867
2024-02-21,Karawang,24.8,92.9,9.8,7.2,45.9,1019.1,23.4,Karawang,-6.3167,107.2867
2024-02-22,Karawang,25.6,77.6,1.9,2.9,62.7,1010.4,21.1,Karawang,-6.3167,107.2867
2024-02-23,Karawang,29.9,86.7,5.5,2.2,46.3,1007.4,27.2,Karawang,-6.3167,107.2867
2024-02-24,Karawang,29.5,96.0,11.1,7.4,22.2,1006.8,28.7,Karawang,-6.3167,107.2867
2024-02-25,Karawang,28.4,83.1,5.4,7.9,46.5,1009.3,25.1,Karawang,-6.3167,107.2867
2024-02-26,Karawang,28.5,87.6,8.1,2.7,30.6,1007.7,26.0,Karawang,-6.3167,107.2867
2024-02-27,Karawang,30.9,83.0,1.4,5.6,29.6,1015.6,27.6,Karawang,-6.3167,107.2867
2024-02-28,Karawang,29.2,83.8,8.1,2.8,34.7,1011.4,26.0,Karawang,-6.3167,107.2867
2024-02-29,Karawang,26.9,85.1,4.9,2.2,25.8,1013.4,24.0,Karawang,-6.3167,107.2867
2024-03-01,Karawang,29.8,93.1,10.4,12.7,50.1,1013.9,28.5,Karawang,-6.3167,107.2867
2024-03-02,Karawang,28.1,84.9,0.8,0.8,54.5,1020.2,25.0,Karawang,-6.3167,107.2867
2024-03-03,Karawang,27.9,96.4,6.4,3.3,51.6,1005.2,27.1,Karawang,-6.3167,107.2867
2024-03-04,Karawang,28.1,84.7,10.2,4.7,67.3,1010.2,25.1,Karawang,-6.3167,107.2867
2024-03-05,Karawang,30.5,79.4,9.7,5.8,74.7,1019.4,26.3,Karawang,-6.3167,107.2867
2024-03-06,Karawang,30.0,72.3,4.1,1.6,26.7,1014.0,24.5,Karawang,-6.3167,107.2867
2024-03-07,Karawang,28.5,84.9,3.7,3.0,55.7,1007.4,25.4,Karawang,-6.3167,107.2867
2024-03-08,Karawang,27.9,88.8,7.8,4.3,27.4,1010.4,25.6,Karawang,-6.3167,107.2867
2024-03-09,Karawang,28.3,84.1,4.3,3.2,14.2,1020.6,25.1,Karawang,-6.3167,107.2867
2024-03-10,Karawang,29.7,90.3,2.8,2.3,73.2,1006.4,27.8,Karawang,-6.3167,107.2867
2024-03-11,Karawang,27.8,87.7,5.8,2.9,93.2,1015.3,25.3,Karawang,-6.3167,107.2867
2024-03-12,Karawang,30.7,87.1,6.4,3.7,61.6,1023.0,28.1,Karawang,-6.3167,107.2867
2024-03-13,Karawang,27.0,83.4,6.7,3.1,44.0,1014.1,23.7,Karawang,-6.3167,107.2867
2024-03-14,Karawang,27.7,86.1,11.6,6.1,68.3,1013.2,24.9,Karawang,-6.3167,107.2867
2024-03-15,Karawang,32.6,87.7,8.7,6.0,45.5,1023.0,30.1,Karawang,-6.3167,107.2867
2024-03-16,Karawang,30.7,75.6,5.2,4.2,26.3,1020.8,25.8,Karawang,-6.3167,107.2867
2024-03-17,Karawang,32.8,83.0,3.2,1.1,23.2,1010.0,29.4,Karawang,-6.3167,107.2867
2024-03-18,Karawang,28.0,89.1,6.6,1.8,99.5,1005.1,25.8,Karawang,-6.3167,107.2867
2024-03-19,Karawang,24.0,89.9,7.6,11.5,31.8,1009.8,22.0,Karawang,-6.3167,107.2867
2024-03-20,Karawang,27.7,89.9,2.0,3.5,100.0,1006.3,25.7,Karawang,-6.3167,107.2867
2024-03-21,Karawang,27.6,86.9,13.9,4.6,26.1,1016.2,24.9,Karawang,-6.3167,107.2867
2024-03-22,Karawang,32.3,89.7,8.0,1.3,29.3,1016.5,30.3,Karawang,-6.3167,107.2867
2024-03-23,Karawang,30.9,78.5,3.2,0.6,21.7,1019.7,26.6,Karawang,-6.3167,107.2867
2024-03-24,Karawang,28.8,79.3,4.8,0.4,83.3,1012.2,24.6,Karawang,-6.3167,107.2867
2024-03-25,Karawang,26.3,79.1,16.3,3.8,30.1,1021.7,22.1,Karawang,-6.3167,107.2867
2024-03-26,Karawang,28.9,86.5,6.6,4.6,100.0,1020.0,26.2,Karawang,-6.3167,107.2867
2024-03-27,Karawang,26.3,90.6,6.6,2.3,76.5,1013.0,24.4,Karawang,-6.3167,107.2867
2024-03-28,Karawang,27.5,83.3,12.8,6.1,26.6,1008.1,24.2,Karawang,-6.3167,107.2867
2024-03-29,Karawang,27.9,79.7,4.3,4.8,24.5,1005.0,23.9,Karawang,-6.3167,107.2867
2024-03-30,Karawang,28.4,78.7,0.1,2.8,79.9,1017.9,24.1,Karawang,-6.3167,107.2867
2024-03-31,Karawang,31.1,83.4,2.6,3.3,43.3,1012.4,27.8,Karawang,-6.3167,107.2867
2024-04-01,Karawang,26.0,89.0,7.5,2.6,14.4,1006.7,23.8,Karawang,-6.3167,107.2867
2024-04-02,Karawang,28.0,79.2,2.4,2.3,36.7,1006.5,23.9,Karawang,-6.3167,107.2867
2024-04-03,Karawang,27.3,88.7,2.5,7.8,27.3,1011.4,25.1,Karawang,-6.3167,107.2867
2024-04-04,Karawang,24.0,81.5,3.7,13.1,67.6,1012.8,20.3,Karawang,-6.3167,107.2867
2024-04-05,Karawang,34.1,90.2,2.4,3.7,29.4,1009.8,32.1,Karawang,-6.3167,107.2867
2024-04-06,Karawang,32.0,85.3,5.9,8.7,43.3,1010.0,29.0,Karawang,-6.3167,107.2867
2024-04-07,Karawang,32.4,85.1,4.9,3.7,9.9,1019.5,29.4,Karawang,-6.3167,107.2867
2024-04-08,Karawang,27.2,89.2,6.9,2.8,12.3,1006.4,25.0,Karawang,-6.3167,107.2867
